ep,reward,entropy,entropy_weight
71000,0.24011461050742902,0.13213365000000002,0.01
71500,0.2402494621705995,0.13009993999999997,0.01
72000,0.2402494621705995,0.12742876999999997,0.01
72500,0.24058659132852586,0.12543412000000004,0.01
73000,0.2444815646834904,0.12383303999999999,0.01
73500,0.2453955592894238,0.12269316600000002,0.01
74000,0.2453955592894238,0.12097313000000003,0.01
74500,0.24546298512100906,0.12023635000000002,0.01
75000,0.24546298512100906,0.12046968000000001,0.01
75500,0.24580011427893536,0.11631638600000001,0.01
76000,0.2461372434368616,0.11514702000000003,0.01
76500,0.24657176546263326,0.11281426000000007,0.01
77000,0.24680400999364913,0.11089909,0.01
77500,0.24707371331999023,0.10853551000000004,0.01
78000,0.24752321886389195,0.10653373600000005,0.01
78500,0.2475906446954772,0.10485219999999998,0.01
79000,0.2483548041201101,0.10230993500000005,0.01
79500,0.24848965578328064,0.1010721200000001,0.01
80000,0.24848965578328064,0.100814894,0.01
80500,0.24848965578328064,0.10072703999999996,0.01
81000,0.24848965578328064,0.09948011,0.010018942442461841
81500,0.2486919332780364,0.09810945400000005,0.010049100670143965
82000,0.24905902947222278,0.09556661999999992,0.010128304461315286
82500,0.2495310102933196,0.09361298399999998,0.010256236205548061
83000,0.2491264553038081,0.09493707000000005,0.010384552735015755
83500,0.2495310102933196,0.09301483000000003,0.010544480342715977
84000,0.2500029911144163,0.09058582000000003,0.010736415211781867
84500,0.2500029911144163,0.09084909999999999,0.010968980804756293
85000,0.25080460933437443,0.08788537,0.011243942474126821
85500,0.25107431266071545,0.08570731,0.011568822210952649
86000,0.25134401598705647,0.08308525400000003,0.01194947903446852
86500,0.2512765901554712,0.08301388000000003,0.012356685136929144
87000,0.25134401598705647,0.08228013999999999,0.012782929021418083
87500,0.2514114418186417,0.08166171600000005,0.013227284446284173
88000,0.251478867650227,0.07964497,0.013700892799645665
88500,0.25154629348181223,0.07776350999999998,0.014230402931869017
89000,0.2521830930023397,0.07526418600000001,0.014826170476078971
89500,0.2523179446655102,0.07301976000000003,0.015474183689728365
90000,0.25520721712444344,0.07216018,0.016157967924997213
90500,0.25534206878761395,0.07182113999999999,0.016861368869915606
91000,0.2549599890752975,0.07120264000000001,0.0175885534263402
91500,0.2556791979455402,0.07028000000000002,0.01831610244989391
92000,0.2557466237771255,0.070158556,0.019073139988556483
92500,0.2556791979455402,0.07013322400000002,0.01982487871676679
93000,0.256151178766637,0.06766769,0.02059155869513748
93500,0.2560163271034665,0.06806409000000001,0.02139053730733687
94000,0.2562860304298076,0.06641656000000001,0.022211774810701548
94500,0.2562860304298076,0.06633112000000001,0.023050333876833265
95000,0.25621860459822227,0.06731978000000001,0.02387610068760805
95500,0.2562860304298076,0.06524767000000001,0.024709105200991
96000,0.2562860304298076,0.06653719400000001,0.025561417217105583
96500,0.2562860304298076,0.06535338000000002,0.0264146472453326
97000,0.2562860304298076,0.06570537400000002,0.027259724880307864
97500,0.2562860304298076,0.06531303399999996,0.028127270652651745
98000,0.25666811014212404,0.06536212600000003,0.028988650273084587
98500,0.2568703876368798,0.06477690500000001,0.029884583766683837
99000,0.2568703876368798,0.064156756,0.030771465276107125
99500,0.25693781346846506,0.06383680599999998,0.0316797299015521
100000,0.2568703876368798,0.06402588999999999,0.03257606559053052
100500,0.25693781346846506,0.06402482000000002,0.033482064659818934
101000,0.25700523930005026,0.06218085400000002,0.03440991857212026
101500,0.25746960453300927,0.061080641999999984,0.03537449142143121
102000,0.25767188202776503,0.05945272999999999,0.03636447206318371
102500,0.2583536321026826,0.05857594300000002,0.03739167215798044
103000,0.25842105793426784,0.058312653999999964,0.03843039014816275
103500,0.25842105793426784,0.057450455000000004,0.03948954193156199
104000,0.25805396174008144,0.05887053499999999,0.04052811840504389
104500,0.25842105793426784,0.05694090999999995,0.04159029455289224
105000,0.25842105793426784,0.057608995999999975,0.04265674548402409
105500,0.2587581870921941,0.055113777999999995,0.043742160011194534
106000,0.2651081393323201,0.054218586999999985,0.04487782373886549
106500,0.2651081393323201,0.05344269799999999,0.04603204644557084
107000,0.2651081393323201,0.053055745,0.04718856507290149
107500,0.2652429909954906,0.052513929999999986,0.04836843838199962
108000,0.2652429909954906,0.052357100000000004,0.049556088207401226
108500,0.2652429909954906,0.052991536,0.050732408048510466
109000,0.2654752355265065,0.051525439999999964,0.051917330978177446
109500,0.2654752355265065,0.051397230000000016,0.05313536114200953
110000,0.265610087189677,0.05180676300000002,0.054336407298892817
110500,0.265610087189677,0.049981818000000004,0.05555721938341858
111000,0.26554266135809174,0.04892102300000002,0.05682485270138841
111500,0.26554266135809174,0.048592339999999984,0.05810987555526206
